id,name,brewery_id,state,country,style,availability,abv
126011,Bourbon Barrel Trippel,2743,CA,US,Belgian Tripel, Limited (brewed once),9.6
61774,Tenure,735,CA,US,Belgian Saison, Limited (brewed once),6.6
334988,Octo Juicy,50953,CA,US,American IPA, Rotating,7.2
31931,Tangerine Wheat,256,CA,US,Fruit and Field Beer, Summer,5.5
263434,Death Of A Ladie's Man,47636,CA,US,American Imperial IPA, Rotating,9.0
252493,Blogger,45678,CA,US,European Dark Lager, Limited (brewed once),5.6
30375,Taps Pumpkin Ale,2700,CA,US,Pumpkin Beer, Rotating,5.8
98610,Wet Black Hopsickle,870,CA,US,American Black Ale, Limited (brewed once),
275235,Popfuji,23628,CA,US,Bohemian Pilsener, Rotating,5.0
56395,Kilt Lifter In Port Barrels,870,CA,US,Scotch Ale / Wee Heavy, Rotating,
323391,Trader Joe's Vintage 2017 Ale,10707,CA,US,Belgian Strong Dark Ale, Limited (brewed once),9.0
306128,3rd Anniversary: Biere de Miel,34734,CA,US,Belgian Saison, Rotating,11.3
285918,Sunday Driver,46776,CA,US,Rye Beer, Limited (brewed once),4.5
111280,Angel City Limited: Imperial Chai Stout,1011,CA,US,American Imperial Stout, Rotating,11.0
220445,Belgian Dubbel,31730,CA,US,Belgian Dubbel, Rotating,8.1
132725,Irish Oatmeal Stout,34494,CA,US,English Oatmeal Stout, Rotating,5.8
207903,Sage Advice,33824,CA,US,Belgian Pale Ale, Limited (brewed once),4.8
169299,Louisville Chugger,2447,CA,US,American Pale Ale (APA), Limited (brewed once),5.5
152127,Farmer's Reserve Strawberry,24940,CA,US,American Wild Ale, Rotating,7.0
254601,Textbook,38745,CA,US,Belgian Saison, Rotating,6.0
87061,Cornelius,26704,CA,US,American Imperial IPA, Rotating,9.6
90029,Sultry Venus,30857,CA,US,Belgian Dark Ale, Year-round,
246805,Pilot Series: IPA With Loral Hops,147,CA,US,American IPA, Rotating,7.1
282230,Beta Blend,27922,CA,US,American Wild Ale, Rotating,8.1
202335,Strawberry Chocolate Macadamia Nut Stout,38284,CA,US,American Stout, Rotating,
280506,Kettle Sour: Peach & Apricot,20430,CA,US,American Wild Ale, Limited (brewed once),4.5
212328,Face Rippah!,32931,CA,US,American IPA, Limited (brewed once),7.0
320558,Murklands - Amarillo,44253,CA,US,American Pale Ale (APA), Rotating,5.5
201689,Not Normal,29180,CA,US,Belgian Saison, Limited (brewed once),4.0
77671,Annihilator,25959,CA,US,American Barleywine, Rotating,12.0
269552,This Charming IPA,46776,CA,US,American IPA, Rotating,6.8
260806,Pilsbilly,22598,CA,US,German Pilsner, Limited (brewed once),5.0
